条目ID,名称,目的地,字段,当前口径,状态,处理建议
A019,晓起村,婺源,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A020,月亮湾,婺源,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A020,月亮湾,婺源,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A031,环岛路,平潭,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A031,环岛路,平潭,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A032,北港村,平潭,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A032,北港村,平潭,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A033,坛南湾,平潭,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A033,坛南湾,平潭,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A034,龙王头海滨浴场,平潭,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A034,龙王头海滨浴场,平潭,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A035,海坛古城,平潭,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A035,海坛古城,平潭,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A036,长江澳,平潭,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A036,长江澳,平潭,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A037,君山,平潭,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A037,君山,平潭,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A038,蓝眼泪观测点,平潭,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A038,蓝眼泪观测点,平潭,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A039,将军山,平潭,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A039,将军山,平潭,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A040,石牌洋,平潭,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A040,石牌洋,平潭,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A251,广州塔,广州,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A251,广州塔,广州,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A252,陈家祠,广州,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A252,陈家祠,广州,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A253,沙面,广州,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A253,沙面,广州,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A254,上下九步行街,广州,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A254,上下九步行街,广州,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A255,珠江新城,广州,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A255,珠江新城,广州,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A256,长隆野生动物世界,广州,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A256,长隆野生动物世界,广州,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A257,永庆坊,广州,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A257,永庆坊,广州,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A258,白云山,广州,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A258,白云山,广州,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A259,北京路步行街,广州,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A259,北京路步行街,广州,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A260,越秀公园,广州,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A260,越秀公园,广州,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A141,张家界国家森林公园,张家界,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A141,张家界国家森林公园,张家界,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A142,天门山,张家界,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A142,天门山,张家界,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A143,大峡谷玻璃桥,张家界,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A143,大峡谷玻璃桥,张家界,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A144,黄龙洞,张家界,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A144,黄龙洞,张家界,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A145,金鞭溪,张家界,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A145,金鞭溪,张家界,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A146,凤凰古城,张家界,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A146,凤凰古城,张家界,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A147,宝峰湖,张家界,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A147,宝峰湖,张家界,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A148,芙蓉镇,张家界,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A148,芙蓉镇,张家界,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A149,黄石寨,张家界,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A149,黄石寨,张家界,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A150,十里画廊,张家界,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A150,十里画廊,张家界,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A312,都江堰,成都,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A312,都江堰,成都,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A313,宽窄巷子,成都,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A313,宽窄巷子,成都,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A314,武侯祠,成都,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A314,武侯祠,成都,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A315,锦里古街,成都,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A315,锦里古街,成都,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A316,杜甫草堂,成都,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A316,杜甫草堂,成都,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A317,青城山,成都,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A317,青城山,成都,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A318,人民公园,成都,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A318,人民公园,成都,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A319,金沙遗址博物馆,成都,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A319,金沙遗址博物馆,成都,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A320,东郊记忆,成都,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A320,东郊记忆,成都,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A061,布达拉宫,拉萨,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A061,布达拉宫,拉萨,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A062,大昭寺,拉萨,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A062,大昭寺,拉萨,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A063,八廓街,拉萨,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A063,八廓街,拉萨,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A064,罗布林卡,拉萨,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A064,罗布林卡,拉萨,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A065,色拉寺,拉萨,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A065,色拉寺,拉萨,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A066,哲蚌寺,拉萨,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A066,哲蚌寺,拉萨,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A067,纳木错,拉萨,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A067,纳木错,拉萨,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A068,羊卓雍措,拉萨,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A068,羊卓雍措,拉萨,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A069,宗角禄康公园,拉萨,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A069,宗角禄康公园,拉萨,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A070,西藏博物馆,拉萨,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A070,西藏博物馆,拉萨,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A081,莫高窟,敦煌-嘉峪关,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A081,莫高窟,敦煌-嘉峪关,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A082,鸣沙山月牙泉,敦煌-嘉峪关,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A082,鸣沙山月牙泉,敦煌-嘉峪关,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A083,嘉峪关关城,敦煌-嘉峪关,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A083,嘉峪关关城,敦煌-嘉峪关,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A084,张掖七彩丹霞,敦煌-嘉峪关,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A084,张掖七彩丹霞,敦煌-嘉峪关,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A085,阳关,敦煌-嘉峪关,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A085,阳关,敦煌-嘉峪关,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A086,玉门关,敦煌-嘉峪关,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A086,玉门关,敦煌-嘉峪关,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A087,雅丹魔鬼城,敦煌-嘉峪关,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A087,雅丹魔鬼城,敦煌-嘉峪关,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A088,敦煌夜市,敦煌-嘉峪关,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A088,敦煌夜市,敦煌-嘉峪关,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A089,悬壁长城,敦煌-嘉峪关,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A089,悬壁长城,敦煌-嘉峪关,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A090,榆林窟,敦煌-嘉峪关,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A090,榆林窟,敦煌-嘉峪关,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A191,滇池,昆明,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A191,滇池,昆明,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A192,石林,昆明,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A192,石林,昆明,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A193,翠湖与云南大学,昆明,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A193,翠湖与云南大学,昆明,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A194,云南民族村,昆明,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A194,云南民族村,昆明,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A195,西山,昆明,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A195,西山,昆明,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A196,昆明老街,昆明,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A196,昆明老街,昆明,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A197,九乡溶洞,昆明,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A197,九乡溶洞,昆明,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A198,金马碧鸡坊,昆明,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A198,金马碧鸡坊,昆明,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A199,大观楼,昆明,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A199,大观楼,昆明,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A200,斗南花市,昆明,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A200,斗南花市,昆明,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A292,灵隐寺与飞来峰,杭州,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A292,灵隐寺与飞来峰,杭州,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A293,龙井村与梅家坞,杭州,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A293,龙井村与梅家坞,杭州,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A294,京杭大运河杭州段,杭州,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A294,京杭大运河杭州段,杭州,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A295,西溪国家湿地公园,杭州,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A295,西溪国家湿地公园,杭州,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A296,胡雪岩故居,杭州,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A296,胡雪岩故居,杭州,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A297,钱塘江与钱江新城,杭州,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A297,钱塘江与钱江新城,杭州,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A298,断桥与白堤,杭州,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A298,断桥与白堤,杭州,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A299,河坊街,杭州,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A299,河坊街,杭州,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A300,九溪十八涧,杭州,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A300,九溪十八涧,杭州,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A161,漓江,桂林,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A161,漓江,桂林,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A162,阳朔西街,桂林,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A162,阳朔西街,桂林,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A163,遇龙河,桂林,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A163,遇龙河,桂林,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A164,龙脊梯田,桂林,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A164,龙脊梯田,桂林,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A165,象鼻山,桂林,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A165,象鼻山,桂林,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A166,两江四湖,桂林,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A166,两江四湖,桂林,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A167,十里画廊,桂林,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A167,十里画廊,桂林,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A168,兴坪古镇,桂林,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A168,兴坪古镇,桂林,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A169,靖江王府,桂林,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A169,靖江王府,桂林,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A170,尧山景区,桂林,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A170,尧山景区,桂林,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A223,东湖绿道,武汉,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A223,东湖绿道,武汉,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A224,武汉大学,武汉,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A224,武汉大学,武汉,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A225,长江大桥,武汉,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A225,长江大桥,武汉,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A226,户部巷,武汉,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A226,户部巷,武汉,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A227,昙华林,武汉,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A227,昙华林,武汉,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A228,楚河汉街,武汉,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A228,楚河汉街,武汉,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A229,汉口江滩,武汉,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A229,汉口江滩,武汉,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A230,归元禅寺,武汉,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A230,归元禅寺,武汉,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A041,开元寺,泉州,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A041,开元寺,泉州,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A042,西街,泉州,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A042,西街,泉州,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A043,府文庙,泉州,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A043,府文庙,泉州,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A044,清净寺,泉州,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A044,清净寺,泉州,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A045,天后宫,泉州,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A045,天后宫,泉州,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A046,清源山,泉州,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A046,清源山,泉州,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A047,蟳埔村,泉州,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A047,蟳埔村,泉州,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A048,中山路,泉州,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A048,中山路,泉州,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
