kb_id,kb_name,kb_city,official_name,pool_id,coverage_status,classification,confidence,reason
A250,陈慈黉故居,潮汕,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A251,广州塔,广州,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A252,陈家祠,广州,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A253,沙面,广州,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A254,上下九步行街,广州,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A255,珠江新城,广州,,,pending,experience,medium,现代都市片区体验
A256,长隆野生动物世界,广州,广州市番禺区长隆旅游度假区,CN-P-000222,covered,covered_component,high,野生动物世界属长隆旅游度假区
A257,永庆坊,广州,永庆坊,CN-P-002372,covered,covered_exact,high,第一批旅游休闲街区全称一致
A258,白云山,广州,广州市白云区白云山景区,CN-P-000224,covered,covered_exact,high,MCT 5A名录含行政区前缀
A259,北京路步行街,广州,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A260,越秀公园,广州,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A261,鼓浪屿,厦门,厦门市鼓浪屿风景名胜区,CN-P-000134,covered,covered_exact,high,MCT 5A名录含行政区前缀
A262,环岛路,厦门,,,pending,experience,medium,滨海公路线路体验
A263,曾厝垵,厦门,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A264,厦门大学,厦门,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A265,沙坡尾,厦门,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A266,南普陀寺,厦门,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A267,胡里山炮台,厦门,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A268,五缘湾湿地公园,厦门,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A269,中山路步行街,厦门,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A270,演武大桥观景平台,厦门,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A271,中山陵,南京,南京市钟山风景名胜区－中山陵园风景区,CN-P-000075,pending,covered_component,high,中山陵园属钟山风景名胜区组合
A272,明孝陵,南京,南京市钟山风景名胜区－中山陵园风景区,CN-P-000075,pending,covered_component,high,明孝陵属钟山风景名胜区范围
A273,南京博物院,南京,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A274,夫子庙与秦淮河,南京,南京市夫子庙－秦淮风光带,CN-P-000079,covered,covered_component,high,夫子庙与秦淮河属官方风光带组合
A275,明城墙,南京,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A276,玄武湖公园,南京,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A277,先锋书店五台山店,南京,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A278,老门东,南京,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A279,鸡鸣寺,南京,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A280,南京眼步行桥,南京,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A281,拙政园,苏州,苏州市苏州园林（拙政园－留园－虎丘）,CN-P-000073,pending,covered_component,high,拙政园属苏州园林组合5A
A282,留园,苏州,苏州市苏州园林（拙政园－留园－虎丘）,CN-P-000073,pending,covered_component,high,留园属苏州园林组合5A
A283,平江路历史街区,苏州,平江历史街区,CN-P-002355,covered,covered_variant,high,官方街区名为平江历史街区
A284,山塘街,苏州,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A285,虎丘,苏州,苏州市苏州园林（拙政园－留园－虎丘）,CN-P-000073,pending,covered_component,high,虎丘属苏州园林组合5A
A286,苏州博物馆,苏州,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A287,周庄古镇,苏州,苏州市周庄古镇景区,CN-P-000074,covered,covered_exact,high,MCT 5A名录含行政区前缀
A288,同里古镇,苏州,苏州市同里古镇景区,CN-P-000078,covered,covered_exact,high,MCT 5A名录含行政区前缀
A289,网师园,苏州,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A290,金鸡湖,苏州,苏州市金鸡湖旅游区,CN-P-000084,covered,covered_exact,high,MCT 5A名录含行政区前缀
A291,西湖,杭州,杭州市杭州西湖风景区,CN-P-000099,pending,covered_exact,high,MCT 5A名录含行政区前缀
A292,灵隐寺与飞来峰,杭州,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A293,龙井村与梅家坞,杭州,,,pending,experience,medium,茶文化村落与采茶品茶体验
A294,京杭大运河杭州段,杭州,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A295,西溪国家湿地公园,杭州,杭州市西溪湿地旅游区,CN-P-000107,covered,covered_exact,high,MCT 5A名录含行政区前缀
A296,胡雪岩故居,杭州,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A297,钱塘江与钱江新城,杭州,,,pending,experience,medium,城市天际线与夜景区域体验
A298,断桥与白堤,杭州,杭州市杭州西湖风景区,CN-P-000099,pending,covered_component,high,断桥与白堤属西湖景区范围
A299,河坊街,杭州,清河坊历史文化街区,CN-P-002356,covered,covered_variant,high,官方街区名为清河坊历史文化街区
A300,九溪十八涧,杭州,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A301,洪崖洞,重庆,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A302,解放碑,重庆,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A303,磁器口古镇,重庆,磁器口街区,CN-P-002378,covered,covered_variant,high,官方街区名为磁器口街区
A304,长江索道,重庆,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A305,武隆天生三桥,重庆,喀斯特旅游区,CN-P-000257,covered,covered_component,high,天生三桥属重庆喀斯特旅游区
A306,白公馆,重庆,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A307,南山一棵树观景台,重庆,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A308,黄桷坪涂鸦一条街,重庆,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A309,重庆中国三峡博物馆,重庆,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A310,南滨路,重庆,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A311,成都大熊猫繁育研究基地,成都,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A312,都江堰,成都,成都市青城山－都江堰旅游景区,CN-P-000267,pending,covered_component,high,都江堰属青城山—都江堰组合5A
A313,宽窄巷子,成都,宽窄巷子,CN-P-002382,covered,covered_exact,high,第一批旅游休闲街区全称一致
A314,武侯祠,成都,武侯祠·锦里,CN-P-002380,pending,covered_component,high,武侯祠属官方武侯祠·锦里街区条目
A315,锦里古街,成都,武侯祠·锦里,CN-P-002380,pending,covered_component,high,锦里属官方武侯祠·锦里街区条目
A316,杜甫草堂,成都,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A317,青城山,成都,成都市青城山－都江堰旅游景区,CN-P-000267,pending,covered_component,high,青城山属青城山—都江堰组合5A
A318,人民公园,成都,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A319,金沙遗址博物馆,成都,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A320,东郊记忆,成都,四川省成都市东郊记忆景区(国家工业遗产旅游基地),CN-P-002589,pending,covered_variant,high,工业旅游名录含成都东郊记忆景区
A321,秦始皇帝陵博物院,西安,西安市秦始皇帝陵博物院景区,CN-P-000310,covered,covered_exact,high,MCT 5A名录含景区后缀，主体一致
A322,大雁塔与大唐不夜城,西安,西安市大雁塔－大唐芙蓉园景区,CN-P-000313,covered,covered_component,high,大雁塔属大雁塔—大唐芙蓉园组合景区
A323,陕西历史博物馆,西安,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A324,西安城墙,西安,西安市城墙•碑林历史文化景区,CN-P-000318,covered,covered_component,high,城墙属官方城墙·碑林组合景区
A325,回民街,西安,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A326,华清宫,西安,西安市华清宫景区,CN-P-000311,covered,covered_exact,high,MCT 5A名录含行政区前缀
A327,钟鼓楼,西安,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A328,大明宫国家遗址公园,西安,西安市大明宫旅游景区,CN-P-000320,covered,covered_exact,high,MCT 5A名录官方用大明宫旅游景区
A329,大唐芙蓉园,西安,西安市大雁塔－大唐芙蓉园景区,CN-P-000313,covered,covered_component,high,大唐芙蓉园属大雁塔—大唐芙蓉园组合景区
A330,小雁塔,西安,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A331,外滩,上海,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A332,上海迪士尼乐园,上海,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A333,豫园与城隍庙,上海,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A334,上海博物馆,上海,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A335,陆家嘴,上海,浦东陆家嘴金融贸易区,CN-P-000446,covered,covered_variant,high,红色旅游名录以陆家嘴金融贸易区为条目
A336,多伦路文化名人街,上海,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A337,朱家角古镇,上海,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A338,上海科技馆,上海,上海科技馆,CN-P-000070,covered,covered_exact,high,MCT 5A名录全称一致
A339,田子坊,上海,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
A340,上海自然博物馆,上海,,,pending,unmatched,low,当前文旅部名录无同名或可证明父级来源
